Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_336,0.73836,0.91172,0.90528,0.66193,0.95083,0.90804,0.99953,0.99839,0.99925,4.0,5.47723,3.74166
BraTS20_Training_337,0.78024,0.88317,0.81937,0.77919,0.9193,0.90724,0.99931,0.99794,0.99827,5.19615,44.96665,43.88622
BraTS20_Training_338,0.85416,0.8803,0.86878,0.8782,0.90709,0.92469,0.99905,0.99758,0.99853,2.23607,40.45924,47.67599
BraTS20_Training_339,0.73395,0.79782,0.7958,0.65766,0.71973,0.76937,0.99942,0.99858,0.99881,7.2111,15.68439,12.0416
BraTS20_Training_340,0.8216,0.7919,0.84684,0.78432,0.79403,0.87182,0.99957,0.99814,0.999,3.0,41.58125,23.28089
BraTS20_Training_341,0.69581,0.63842,0.7153,0.55443,0.53176,0.56584,0.99997,0.99981,0.99999,3.74166,7.28011,4.0
BraTS20_Training_342,0.28842,0.71816,0.60764,0.17232,0.5783,0.43819,0.99985,0.99945,0.99995,9.84886,8.30662,13.0384
BraTS20_Training_343,0.77648,0.92092,0.91333,0.72015,0.91483,0.89012,0.9995,0.99871,0.99959,2.82843,3.60555,3.74166
BraTS20_Training_344,0.61635,0.81294,0.59383,0.52147,0.92564,0.46908,0.99983,0.99686,0.99976,18.68154,51.64784,53.37602
BraTS20_Training_345,0.72489,0.7329,0.22356,0.61528,0.78661,0.60549,0.99995,0.9961,0.99737,10.35614,16.15549,24.53569
BraTS20_Training_346,0.62806,0.80434,0.79352,0.49394,0.81037,0.79726,0.99975,0.99818,0.99838,4.24264,27.01666,25.63201
BraTS20_Training_347,0.80664,0.86023,0.65172,0.95463,0.97908,0.97701,0.99885,0.99624,0.99626,5.09902,60.57268,70.71068
BraTS20_Training_348,0.77352,0.89825,0.87368,0.71144,0.8781,0.79598,0.99937,0.99926,0.99982,3.74166,43.78413,5.83095
BraTS20_Training_349,0.81217,0.93458,0.90955,0.78557,0.97125,0.91171,0.99901,0.99787,0.99887,4.12311,3.31662,6.0
BraTS20_Training_350,0.8678,0.86237,0.75706,0.92674,0.94096,0.96551,0.99908,0.99705,0.99675,3.0,32.89377,43.18159
BraTS20_Training_351,0.68921,0.85344,0.70049,0.55358,0.80328,0.58885,0.9999,0.99911,0.9998,4.58258,4.12311,6.7082
BraTS20_Training_352,0.63124,0.78367,0.48482,0.48644,0.82148,0.52006,0.99994,0.9984,0.99934,4.47214,67.01791,12.36932
BraTS20_Training_353,0.27802,0.62548,0.33151,0.1659,0.45956,0.19952,0.99997,0.99995,0.99999,12.40967,7.87401,12.0
BraTS20_Training_354,0.75639,0.86986,0.8626,0.66698,0.81799,0.78509,0.99934,0.99878,0.99961,4.47214,8.24621,14.86607
BraTS20_Training_355,0.82957,0.93487,0.92032,0.82435,0.964,0.90763,0.99889,0.99846,0.99932,3.0,2.82843,4.24264
BraTS20_Training_356,0.75249,0.76736,0.86048,0.68375,0.73825,0.81061,0.9997,0.99911,0.99975,3.0,60.34608,4.24264
BraTS20_Training_357,0.41372,0.65256,0.59609,0.45264,0.87678,0.70556,0.99879,0.99458,0.99816,64.43757,64.1046,64.02343
BraTS20_Training_358,0.86344,0.87836,0.81519,0.89478,0.8916,0.8795,0.99975,0.9983,0.99951,2.82843,3.60555,27.07397
BraTS20_Training_359,0.7976,0.85141,0.90916,0.75832,0.91686,0.88559,0.99949,0.99773,0.99964,3.0,51.1957,3.16228
BraTS20_Training_360,0.81678,0.88412,0.89516,0.78142,0.96616,0.88403,0.99935,0.99755,0.99942,4.12311,7.07107,5.0
BraTS20_Training_361,0.0,0.9078,0.00672,0.0,0.93419,0.03858,1.0,0.9989,0.9962,373.12866,62.29767,26.56972
