Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_362,0.8601,0.94843,0.86254,0.79324,0.97981,0.96244,0.99977,0.99844,0.99818,2.0,2.44949,5.83095
BraTS20_Training_363,0.90294,0.94571,0.94521,0.84751,0.97682,0.93171,0.99984,0.99878,0.99968,1.41421,2.44949,2.23607
BraTS20_Training_364,0.86388,0.91412,0.91287,0.79182,0.91672,0.90975,0.99986,0.99901,0.99953,3.16228,2.44949,3.16228
BraTS20_Training_365,0.925,0.94481,0.9313,0.89116,0.98078,0.97276,0.99987,0.99839,0.99916,1.0,2.23607,7.28011
BraTS20_Training_366,0.82459,0.91773,0.85,0.74416,0.96517,0.80045,0.99986,0.99928,0.99978,4.24264,3.60555,43.08132
BraTS20_Training_367,0.88195,0.93524,0.69775,0.81903,0.95097,0.86062,0.99992,0.99881,0.99854,2.44949,2.23607,16.40122
BraTS20_Training_368,0.89152,0.94271,0.77805,0.84806,0.95552,0.87943,0.9999,0.99932,0.99923,2.0,1.73205,8.60232
BraTS20_Training_369,0.93616,0.94235,0.91446,0.91217,0.93729,0.97351,0.99982,0.99866,0.99889,1.0,3.74166,8.18535
Mean,0.75983,0.8854,0.80669,0.76832,0.88845,0.83675,0.99974,0.99898,0.99936,24.72246,6.01101,10.15846
StdDev,0.25022,0.08867,0.17964,0.26992,0.12512,0.19487,0.00029,0.00082,0.00083,85.92247,7.67428,11.41269
Median,0.85605,0.91036,0.8652,0.87219,0.93213,0.90643,0.99982,0.99918,0.99959,2.0,3.60555,5.91608
25quantile,0.73996,0.86622,0.77794,0.73878,0.85884,0.81105,0.99966,0.99853,0.99925,1.41421,2.82843,3.16228
75quantile,0.90012,0.93592,0.91625,0.93362,0.96517,0.95275,0.99993,0.99958,0.99982,3.74166,5.91608,12.0416
