Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_186,0.86832,0.89439,0.91803,0.81152,0.90462,0.86461,0.99968,0.99825,0.99987,2.82843,3.0,3.31662
BraTS20_Training_187,0.80837,0.89138,0.90856,0.86567,0.94229,0.88798,0.99877,0.99822,0.99957,3.43461,5.38516,4.12311
BraTS20_Training_188,0.63655,0.56861,0.7227,0.86131,0.50424,0.96138,0.99934,0.99794,0.99932,7.68115,16.67333,12.81594
BraTS20_Training_189,0.87797,0.91063,0.91956,0.82093,0.89656,0.86661,0.99988,0.9992,0.99994,1.73205,2.82843,2.23607
BraTS20_Training_190,0.77005,0.80594,0.77793,0.95946,0.75257,0.95463,0.99942,0.99941,0.99943,4.12311,4.0,4.12311
BraTS20_Training_191,0.87492,0.8797,0.92001,0.8978,0.92246,0.89976,0.99847,0.997,0.99934,3.60555,4.24264,3.16228
BraTS20_Training_192,0.842,0.92502,0.93001,0.8882,0.93807,0.90827,0.99951,0.99887,0.99981,2.0,3.0,3.74166
BraTS20_Training_193,0.82074,0.90457,0.92288,0.85018,0.88978,0.92365,0.99925,0.99885,0.99953,2.23607,15.3948,43.95958
BraTS20_Training_194,0.86947,0.90406,0.94492,0.82962,0.96543,0.92717,0.99966,0.99808,0.99969,1.41421,4.3589,3.0
BraTS20_Training_195,0.58125,0.68783,0.64548,0.42881,0.54012,0.48223,0.99989,0.99983,0.99996,7.0,5.83095,7.48331
BraTS20_Training_196,0.86984,0.8997,0.90401,0.83931,0.84957,0.89079,0.9996,0.99925,0.99959,2.44949,3.74166,3.0
BraTS20_Training_197,0.87998,0.91703,0.92308,0.85713,0.96611,0.90612,0.99945,0.99789,0.99954,2.23607,4.12311,2.82843
BraTS20_Training_198,0.76878,0.90617,0.84374,0.78931,0.92592,0.75512,0.9991,0.99857,0.99978,3.16228,4.0,5.91608
BraTS20_Training_199,0.86545,0.90808,0.89302,0.79912,0.96971,0.83341,0.99982,0.99846,0.99986,2.23607,3.16228,3.0
BraTS20_Training_200,0.77,0.8609,0.65068,0.95329,0.96214,0.96848,0.99973,0.99862,0.99947,6.27183,4.12311,13.0
BraTS20_Training_201,0.81283,0.912,0.89575,0.69259,0.8758,0.81688,0.99995,0.9991,0.99997,3.0,3.0,3.0
BraTS20_Training_202,0.87653,0.8072,0.93899,0.8293,0.69763,0.93297,0.9998,0.99966,0.99972,1.41421,6.63325,2.23607
BraTS20_Training_203,0.79752,0.72907,0.88582,0.84399,0.63077,0.91916,0.99971,0.99899,0.99977,2.23607,35.73514,3.31662
BraTS20_Training_204,0.79681,0.7597,0.80993,0.85132,0.79109,0.90341,0.99972,0.99938,0.99966,4.0,6.16441,4.3589
BraTS20_Training_205,0.82063,0.72923,0.85883,0.74724,0.64968,0.79067,0.99996,0.99954,0.99997,59.24736,38.37968,60.16644
BraTS20_Training_206,0.67232,0.63282,0.54792,0.86401,0.59119,0.93481,0.9996,0.99927,0.9991,18.01527,7.87401,19.0263
BraTS20_Training_207,0.60539,0.82558,0.65663,0.51592,0.74602,0.57484,0.99946,0.99959,0.99946,6.63325,6.0,7.07107
BraTS20_Training_208,0.7728,0.78785,0.86789,0.79327,0.68689,0.79921,0.99893,0.99892,0.99968,3.0,6.16441,5.0
BraTS20_Training_209,0.72714,0.84646,0.88344,0.78955,0.84239,0.93777,0.99916,0.99893,0.99908,2.44949,5.19615,3.60555
BraTS20_Training_210,0.83428,0.91158,0.90768,0.89681,0.97037,0.94726,0.99865,0.99682,0.999,3.4641,3.60555,3.74166
BraTS20_Training_211,0.79846,0.80844,0.92443,0.82098,0.80208,0.95284,0.9995,0.99835,0.99963,2.0,5.09902,2.82843
BraTS20_Training_212,0.47956,0.75778,0.59861,0.5417,0.64422,0.45486,0.99776,0.99882,0.99926,11.53256,9.79796,12.0416
BraTS20_Training_213,0.83288,0.70425,0.8617,0.93298,0.55928,0.92181,0.99948,0.99981,0.99953,3.0,17.20465,4.58258
BraTS20_Training_214,0.87729,0.89129,0.87644,0.90698,0.97442,0.9388,0.99948,0.99735,0.99923,17.47283,4.58258,25.94802
BraTS20_Training_215,0.84844,0.8517,0.90394,0.80419,0.96066,0.84581,0.99973,0.99778,0.9999,2.0,4.12311,3.0
BraTS20_Training_216,0.58985,0.87462,0.83782,0.71474,0.86477,0.90234,0.99864,0.99923,0.99889,3.4641,6.7082,3.60555
BraTS20_Training_217,0.79409,0.7869,0.84584,0.74345,0.66526,0.77363,0.99987,0.99994,0.99993,2.0,3.74166,3.04868
BraTS20_Training_218,0.82946,0.92419,0.93172,0.90351,0.92309,0.94111,0.9981,0.99906,0.99926,3.0,4.12311,2.44949
BraTS20_Training_219,0.79427,0.82423,0.88573,0.92626,0.7983,0.97552,0.99935,0.99879,0.99945,2.44949,7.68115,3.0
BraTS20_Training_220,0.60884,0.81418,0.75112,0.72463,0.73592,0.89016,0.99863,0.99904,0.99851,5.91608,11.44552,7.64519
BraTS20_Training_221,0.82344,0.89271,0.86315,0.71762,0.83042,0.76794,0.9998,0.99945,0.99989,2.44949,4.12311,3.74166
BraTS20_Training_222,0.8297,0.86151,0.84751,0.88256,0.95008,0.87785,0.99976,0.99912,0.99976,3.4641,3.60555,3.0
BraTS20_Training_223,0.93044,0.91044,0.95339,0.93707,0.93638,0.96644,0.99974,0.9978,0.99977,1.41421,4.0,1.41421
BraTS20_Training_224,0.8585,0.91309,0.9228,0.79843,0.95803,0.87231,0.99959,0.99763,0.99981,2.0,3.60555,3.0
BraTS20_Training_225,0.8123,0.90632,0.91289,0.69431,0.87504,0.84421,0.99981,0.99868,0.99993,3.74166,3.60555,3.60555
BraTS20_Training_226,0.85593,0.91094,0.9273,0.84607,0.9136,0.89335,0.9994,0.99928,0.99982,3.0,5.09902,2.44949
BraTS20_Training_227,0.77368,0.57822,0.78778,0.735,0.41784,0.6999,0.99991,0.99984,0.99995,72.0361,15.16575,72.12489
BraTS20_Training_228,0.61472,0.85762,0.68873,0.9538,0.87128,0.98723,0.99859,0.99866,0.99859,12.36932,4.24264,14.14743
BraTS20_Training_229,0.85446,0.9044,0.89707,0.82677,0.92244,0.84807,0.99964,0.999,0.99983,2.82843,3.31662,3.16228
BraTS20_Training_230,0.9358,0.90197,0.9277,0.98038,0.92211,0.97446,0.9998,0.99874,0.99978,1.41421,3.74166,2.23607
BraTS20_Training_231,0.89111,0.93307,0.92103,0.87241,0.94281,0.91221,0.99961,0.99883,0.99965,2.23607,3.31662,2.23607
BraTS20_Training_232,0.52412,0.64343,0.53513,0.68403,0.47546,0.55334,0.99901,0.99998,0.99903,17.02939,13.92839,13.0384
BraTS20_Training_233,0.61944,0.82666,0.613,0.84898,0.76982,0.84826,0.99974,0.99983,0.99972,5.74456,3.31662,5.83095
BraTS20_Training_234,0.72398,0.90581,0.77875,0.75479,0.83841,0.65024,0.99956,0.99977,0.99975,21.18962,5.83095,7.54983
BraTS20_Training_235,0.82546,0.9177,0.9275,0.78526,0.88301,0.89392,0.99914,0.99905,0.99955,2.44949,4.0,4.0
BraTS20_Training_236,0.44815,0.7612,0.55956,0.35904,0.7243,0.47578,0.99871,0.99653,0.99854,7.28011,8.30662,8.12404
BraTS20_Training_237,0.79317,0.92348,0.85758,0.93211,0.90509,0.87431,0.9992,0.99898,0.99951,3.74166,3.60555,5.91608
BraTS20_Training_238,0.47314,0.91686,0.9524,0.92696,0.86843,0.94756,0.99126,0.99948,0.99944,7.61577,7.81025,2.0
BraTS20_Training_239,0.51552,0.84406,0.75244,0.86561,0.81066,0.85017,0.99877,0.99907,0.99918,8.06226,7.61577,8.06226
BraTS20_Training_240,0.47911,0.90104,0.57443,0.72724,0.83246,0.56138,0.99914,0.9997,0.99834,5.38516,5.38516,18.70829
BraTS20_Training_241,0.73934,0.91534,0.75983,0.75515,0.88927,0.75788,0.99844,0.9986,0.9981,11.35782,4.0,24.37212
BraTS20_Training_242,0.77799,0.86496,0.86251,0.92314,0.94132,0.95509,0.99861,0.99854,0.99894,4.3589,4.69042,7.28011
BraTS20_Training_243,0.68429,0.86162,0.78942,0.73346,0.84804,0.79974,0.99933,0.99788,0.99948,31.20737,8.06226,34.18186
BraTS20_Training_244,0.67534,0.90312,0.89325,0.78023,0.88677,0.88063,0.9984,0.99869,0.99936,3.16228,3.16228,3.60555
BraTS20_Training_245,0.63712,0.9112,0.74759,0.63802,0.88501,0.7705,0.99715,0.99897,0.99746,5.83095,4.24264,8.66025
BraTS20_Training_246,0.80526,0.84556,0.8329,0.84328,0.81292,0.74782,0.99925,0.99912,0.99973,3.16228,6.48074,6.08276
BraTS20_Training_247,0.80934,0.86508,0.91092,0.79482,0.7971,0.86275,0.99901,0.99928,0.9997,2.23607,8.544,3.16228
BraTS20_Training_248,0.76911,0.92571,0.90548,0.82848,0.91853,0.90227,0.99867,0.99935,0.99933,2.44949,2.82843,3.0
BraTS20_Training_249,0.85364,0.77862,0.88853,0.79891,0.8962,0.89168,0.99984,0.99731,0.99972,6.40312,10.0,4.24264
BraTS20_Training_250,0.66994,0.78714,0.41997,0.55065,0.75694,0.66218,0.99997,0.99861,0.99945,3.60555,56.80493,14.03567
BraTS20_Training_251,0.906,0.93129,0.93297,0.885,0.92969,0.90675,0.99986,0.99937,0.99991,1.41421,3.0,1.73205
BraTS20_Training_252,0.80153,0.91367,0.87771,0.7232,0.88017,0.84162,0.99959,0.99891,0.99937,4.12311,7.0,4.69042
BraTS20_Training_253,0.71747,0.89576,0.91889,0.8989,0.90319,0.91691,0.999,0.99944,0.99977,3.16228,2.82843,2.0
BraTS20_Training_254,0.86295,0.91488,0.91262,0.8143,0.88089,0.8673,0.99952,0.9992,0.99975,2.82843,3.16228,3.31662
BraTS20_Training_255,0.87961,0.93665,0.93456,0.87231,0.93232,0.89941,0.999,0.99891,0.9997,2.23607,2.82843,2.82843
BraTS20_Training_256,0.77064,0.89036,0.84145,0.80072,0.83054,0.78284,0.99756,0.99931,0.99888,5.09902,6.0,8.06226
BraTS20_Training_257,0.71948,0.90531,0.776,0.97008,0.92391,0.97856,0.99911,0.99891,0.99924,7.0,3.16228,6.7082
BraTS20_Training_258,0.746,0.91146,0.89414,0.85925,0.88364,0.83995,0.99869,0.99923,0.99972,2.44949,4.0,3.74166
BraTS20_Training_259,0.47551,0.87404,0.44559,0.66095,0.83841,0.77166,0.99862,0.99892,0.99743,78.28026,45.6399,78.13034
BraTS20_Training_260,0.79169,0.69925,0.5576,0.74423,0.63966,0.40653,0.99973,0.99894,0.99977,52.47857,45.22168,48.07494
