Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_322,0.44836,0.93497,0.80339,0.7479,0.9893,0.67304,0.99998,0.99874,0.99998,15.1608,4.89898,6.08276
BraTS20_Training_323,0.7162,0.90728,0.69929,0.97968,0.85024,0.54596,0.9996,0.99936,0.99982,3.16228,4.24264,10.77033
BraTS20_Training_324,1.0,0.7675,0.00163,1.0,0.62813,0.00082,1.0,0.99993,1.0,0.0,6.32456,34.72751
BraTS20_Training_325,0.0,0.524,0.03008,0.0,0.36582,0.01527,1.0,0.99994,1.0,373.12866,19.86192,12.52996
BraTS20_Training_326,0.49637,0.90567,0.5945,0.88777,0.87208,0.4232,0.99977,0.99924,0.99999,19.82801,21.65641,13.30414
BraTS20_Training_327,0.81568,0.94806,0.78317,0.96704,0.9073,0.64702,0.99924,0.99986,0.99991,2.23607,3.74166,9.0
BraTS20_Training_328,0.78347,0.93533,0.3755,0.9971,0.89532,0.23119,0.99994,0.99919,1.0,1.73205,5.0,20.04994
BraTS20_Training_329,1.0,0.87702,0.09258,1.0,0.84131,0.04853,1.0,0.99945,1.0,0.0,55.9017,23.9583
BraTS20_Training_330,0.0,0.94367,0.17105,0.0,0.92964,0.09354,1.0,0.99975,1.0,373.12866,2.23607,15.90597
BraTS20_Training_331,0.80167,0.85472,0.54193,0.96082,0.99288,0.3882,0.9999,0.99814,0.99995,2.0,5.09902,10.04988
BraTS20_Training_332,0.83932,0.96195,0.82045,0.9803,0.98666,0.98014,0.99992,0.99959,0.99989,1.73205,1.41421,2.23607
BraTS20_Training_333,0.78256,0.96023,0.38538,0.95968,0.92938,0.23878,0.99952,0.99986,0.99999,3.0,2.44949,18.0
BraTS20_Training_334,0.91223,0.96826,0.91927,0.9892,0.97491,0.96891,0.99976,0.99933,0.9998,1.41421,1.41421,1.41421
BraTS20_Training_335,0.0,0.9085,0.0009,0.0,0.84985,0.00045,1.0,0.99968,1.0,373.12866,5.09902,36.52191
BraTS20_Training_336,0.94708,0.96877,0.98199,0.95658,0.98274,0.98161,0.99977,0.99945,0.99986,1.0,1.41421,1.0
BraTS20_Training_337,0.9398,0.96798,0.97424,0.96631,0.97307,0.98359,0.99971,0.99952,0.9998,1.0,1.41421,1.0
BraTS20_Training_338,0.9527,0.95022,0.97194,0.93583,0.97655,0.9638,0.99985,0.99876,0.99986,1.0,2.23607,1.41421
BraTS20_Training_339,0.94564,0.94637,0.97154,0.94315,0.94847,0.97722,0.99978,0.99906,0.99975,1.0,2.23607,1.41421
BraTS20_Training_340,0.94823,0.96144,0.97179,0.92354,0.96257,0.96814,0.99992,0.99965,0.99987,1.0,1.41421,1.0
BraTS20_Training_341,0.93057,0.90421,0.93478,0.88366,0.92767,0.88733,0.99999,0.99983,0.99999,1.0,2.23607,1.0
BraTS20_Training_342,0.9039,0.94482,0.96113,0.85588,0.93531,0.94023,0.99976,0.99924,0.99979,1.0,2.0,2.0
